text,summary
"thankful to thee shall be my study , and my profit :
therein the heaping friendships . Of that fatal :
country , Sicilia , prithee speak no more ; whose very :
naming punishes me with the remembrance of that :
penitent , as thou callest him , and reconciled king , :
my brother ; whose loss of his most precious queen :
and children are even now to be afresh lamented . :
Say to me , when sawest thou the Prince Florizel , my :
son ? Kings are no less unhappy , their issue not :
being gracious , than they are in losing them when :
they have approved their virtues . :
CAMILLO :
Sir , it is three days since I saw the prince . What :
his happier affairs may be , are to me unknown : but I :
have missingly noted , he is of late much retired :
from court and is less frequent to his princely :
exercises than formerly he hath appeared . :
POLIXENES :
I have considered so much , Camillo , and with some :
care ; so far that I have eyes under my service which :
look upon his removedness ; from whom I have this :
intelligence , that he is seldom from the house of a :
most homely shepherd ; a man , they say , that from :
very nothing , and beyond the imagination of his :
neighbours , is grown into an unspeakable estate . :
CAMILLO :
I have heard , sir , of such a man , who hath a :
daughter of most rare note : the report of her is :
extended more than can be thought to begin from such a cottage . :
POLIXENES :
That 's likewise part of my intelligence ; but , I :
fear , the angle that plucks our son thither . Thou :
shalt accompany us to the place ; where we will , not :
appearing what we are , have some question with the :
shepherd ; from whose simplicity I think it not :
uneasy to get the cause of my son 's resort thither . :
Prithee , be my present partner in this business , and :
lay aside the thoughts of Sicilia . :
CAMILLO :
I willingly obey your command . :
POLIXENES :
My best Camillo ! We must disguise ourselves . :
SCENE III . A road near the Shepherd 's cottage . :
AUTOLYCUS :
When daffodils begin to peer , :
With heigh ! the doxy over the dale , :
Why , then comes in the sweet o ' the year ; :
For the red blood reigns in the winter 's pale . :
The white sheet bleaching on the hedge , :
With heigh ! the sweet birds , O , how they sing ! :
Doth set my pugging tooth on edge ; :
For a quart of ale is a dish for a king . :
The lark , that tirra-lyra chants , :
With heigh ! with heigh ! the thrush and the jay , :
Are summer songs for me and my aunts , :
While we lie tumbling in the hay . :
I have served Prince Florizel and in my time :
wore three-pile ; but now I am out of service : :
But shall I go mourn for that , my dear ? :
The pale moon shines by night : :
And when I wander here and there , :
I then do most go right . :
If tinkers may have leave to live , :
And bear the sow-skin budget , :
Then my account I well may , give , :
And in the stocks avouch it . :
My traffic is sheets ; when the kite builds , look to :
lesser linen . My father named me Autolycus ; who :
being , as I am , littered under Mercury , was likewise :
a snapper-up of unconsidered trifles . With die and :
drab I purchased this caparison , and my revenue is :
the silly cheat . Gallows and knock are too powerful :
on the highway : beating and hanging are terrors to :
me : for the life to come , I sleep out the thought :
of it . A prize ! a prize ! :
Clown :
","Autolycus, a roguish character, sings a playful song about the changing seasons and his own carefree lifestyle."
"yields pound and odd shilling ; fifteen hundred :
shorn. what comes the wool to ? :
AUTOLYCUS :
[ Aside ] :
If the springe hold , the cock 's mine . :
Clown :
I cannot do 't without counters . Let me see ; what am :
I to buy for our sheep-shearing feast ? Three pound :
of sugar , five pound of currants , rice , --what will :
this sister of mine do with rice ? But my father :
hath made her mistress of the feast , and she lays it :
on . She hath made me four and twenty nose-gays for :
the shearers , three-man-song-men all , and very good :
ones ; but they are most of them means and bases ; but :
one puritan amongst them , and he sings psalms to :
horn-pipes . I must have saffron to colour the warden :
pies ; mace ; dates ? --none , that 's out of my note ; :
nutmegs , seven ; a race or two of ginger , but that I :
may beg ; four pound of prunes , and as many of :
raisins o ' the sun . :
AUTOLYCUS :
O that ever I was born ! :
Grovelling on the ground :
Clown :
I ' the name of me-- :
AUTOLYCUS :
O , help me , help me ! pluck but off these rags ; and :
then , death , death ! :
Clown :
Alack , poor soul ! thou hast need of more rags to lay :
on thee , rather than have these off . :
AUTOLYCUS :
O sir , the loathsomeness of them offends me more :
than the stripes I have received , which are mighty :
ones and millions . :
Clown :
Alas , poor man ! a million of beating may come to a :
great matter . :
AUTOLYCUS :
I am robbed , sir , and beaten ; my money and apparel :
ta 'en from me , and these detestable things put upon :
me . :
Clown :
What , by a horseman , or a footman ? :
AUTOLYCUS :
A footman , sweet sir , a footman . :
Clown :
Indeed , he should be a footman by the garments he :
has left with thee : if this be a horseman 's coat , :
it hath seen very hot service . Lend me thy hand , :
I 'll help thee : come , lend me thy hand . :
AUTOLYCUS :
O , good sir , tenderly , O ! :
Clown :
Alas , poor soul ! :
AUTOLYCUS :
O , good sir , softly , good sir ! I fear , sir , my :
shoulder-blade is out . :
Clown :
How now ! canst stand ? :
AUTOLYCUS :
[ Picking his pocket ] :
Softly , dear sir ; good sir , softly . You ha ' done me :
a charitable office . :
Clown :
Dost lack any money ? I have a little money for thee . :
AUTOLYCUS :
No , good sweet sir ; no , I beseech you , sir : I have :
a kinsman not past three quarters of a mile hence , :
unto whom I was going ; I shall there have money , or :
any thing I want : offer me no money , I pray you ; :
that kills my heart . :
Clown :
What manner of fellow was he that robbed you ? :
AUTOLYCUS :
A fellow , sir , that I have known to go about with :
troll-my-dames ; I knew him once a servant of the :
prince : I cannot tell , good sir , for which of his :
virtues it was , but he was certainly whipped out of the court . :
Clown :
His vices , you would say ; there 's no virtue whipped :
out of the court : they cherish it to make it stay :
there ; and yet it will no more but abide . :
AUTOLYCUS :
Vices , I would say , sir . I know this man well : he :
hath been since an ape-bearer ; then a :
process-server , a bailiff ; then he compassed a :
motion of the Prodigal Son , and married a tinker 's :
",Autolycus is pretending to be a victim. The Clown initially sympathizes with him and offers to help.
"and , having flown over many knavish professions , he :
settled only in rogue : some call him Autolycus . :
Clown :
Out upon him ! prig , for my life , prig : he haunts :
wakes , fairs and bear-baitings . :
AUTOLYCUS :
Very true , sir ; he , sir , he ; that 's the rogue that :
put me into this apparel . :
Clown :
Not a more cowardly rogue in all Bohemia : if you had :
but looked big and spit at him , he 'ld have run . :
AUTOLYCUS :
I must confess to you , sir , I am no fighter : I am :
false of heart that way ; and that he knew , I warrant :
him . :
Clown :
How do you now ? :
AUTOLYCUS :
Sweet sir , much better than I was ; I can stand and :
walk : I will even take my leave of you , and pace :
softly towards my kinsman 's . :
Clown :
Shall I bring thee on the way ? :
AUTOLYCUS :
No , good-faced sir ; no , sweet sir . :
Clown :
Then fare thee well : I must go buy spices for our :
sheep-shearing . :
AUTOLYCUS :
Prosper you , sweet sir ! :
Exit Clown :
Your purse is not hot enough to purchase your spice . :
I 'll be with you at your sheep-shearing too : if I :
make not this cheat bring out another and the :
shearers prove sheep , let me be unrolled and my name :
put in the book of virtue ! :
Sings :
Jog on , jog on , the foot-path way , :
And merrily hent the stile-a : :
A merry heart goes all the day , :
Your sad tires in a mile-a . :
Exit :
SCENE IV . The Shepherd 's cottage . :
FLORIZEL :
These your unusual weeds to each part of you :
Do give a life : no shepherdess , but Flora :
Peering in April 's front . This your sheep-shearing :
Is as a meeting of the petty gods , :
And you the queen on 't . :
PERDITA :
Sir , my gracious lord , :
To chide at your extremes it not becomes me : :
O , pardon , that I name them ! Your high self , :
The gracious mark o ' the land , you have obscured :
With a swain 's wearing , and me , poor lowly maid , :
Most goddess-like prank 'd up : but that our feasts :
In every mess have folly and the feeders :
Digest it with a custom , I should blush :
To see you so attired , sworn , I think , :
To show myself a glass . :
FLORIZEL :
I bless the time :
When my good falcon made her flight across :
Thy father 's ground . :
PERDITA :
Now Jove afford you cause ! :
To me the difference forges dread ; your greatness :
Hath not been used to fear . Even now I tremble :
To think your father , by some accident , :
Should pass this way as you did : O , the Fates ! :
How would he look , to see his work so noble :
Vilely bound up ? What would he say ? Or how :
Should I , in these my borrow 'd flaunts , behold :
The sternness of his presence ? :
FLORIZEL :
Apprehend :
Nothing but jollity . The gods themselves , :
Humbling their deities to love , have taken :
The shapes of beasts upon them : Jupiter :
Became a bull , and bellow 'd ; the green Neptune :
A ram , and bleated ; and the fire-robed god , :
Golden Apollo , a poor humble swain , :
As I seem now . Their transformations :
Were never for a piece of beauty rarer , :
Nor in a way so chaste , since my desires :
Run not before mine honour , nor my lusts :
Burn hotter than my faith . :
PERDITA :
O , but , sir , :
Your resolution cannot hold , when ' tis :
Opposed , as it must be , by the power of the king : :
","Autolycus, the shepherd, and the clown converse about Autolycus' roguish nature and his current attire. Meanwhile, Florizel and Perdita are together in the shepherd's cottage. Florizel praises Perdita's appearance, but she expresses concern about the difference in their social statuses."
"Which then will speak , that you must :
change this purpose , :
Or I my life . :
FLORIZEL :
Thou dearest Perdita , :
With these forced thoughts , I prithee , darken not :
The mirth o ' the feast . Or I 'll be thine , my fair , :
Or not my father 's . For I cannot be :
Mine own , nor any thing to any , if :
I be not thine . To this I am most constant , :
Though destiny say no . Be merry , gentle ; :
Strangle such thoughts as these with any thing :
That you behold the while . Your guests are coming : :
Lift up your countenance , as it were the day :
Of celebration of that nuptial which :
We two have sworn shall come . :
PERDITA :
O lady Fortune , :
Stand you auspicious ! :
FLORIZEL :
See , your guests approach : :
Address yourself to entertain them sprightly , :
And let 's be red with mirth . :
Shepherd :
Fie , daughter ! when my old wife lived , upon :
This day she was both pantler , butler , cook , :
Both dame and servant ; welcomed all , served all ; :
Would sing her song and dance her turn ; now here , :
At upper end o ' the table , now i ' the middle ; :
On his shoulder , and his ; her face o ' fire :
With labour and the thing she took to quench it , :
She would to each one sip . You are retired , :
As if you were a feasted one and not :
The hostess of the meeting : pray you , bid :
These unknown friends to 's welcome ; for it is :
A way to make us better friends , more known . :
Come , quench your blushes and present yourself :
That which you are , mistress o ' the feast : come on , :
And bid us welcome to your sheep-shearing , :
As your good flock shall prosper . :
PERDITA :
[ To POLIXENES ] Sir , welcome : :
It is my father 's will I should take on me :
The hostess-ship o ' the day . :
To CAMILLO :
You 're welcome , sir . :
Give me those flowers there , Dorcas . Reverend sirs , :
For you there 's rosemary and rue ; these keep :
Seeming and savour all the winter long : :
Grace and remembrance be to you both , :
And welcome to our shearing ! :
POLIXENES :
Shepherdess , :
A fair one are you--well you fit our ages :
With flowers of winter . :
PERDITA :
Sir , the year growing ancient , :
Not yet on summer 's death , nor on the birth :
Of trembling winter , the fairest :
flowers o ' the season :
Are our carnations and streak 'd gillyvors , :
Which some call nature 's bastards : of that kind :
Our rustic garden 's barren ; and I care not :
To get slips of them . :
POLIXENES :
Wherefore , gentle maiden , :
Do you neglect them ? :
PERDITA :
For I have heard it said :
There is an art which in their piedness shares :
With great creating nature . :
POLIXENES :
Say there be ; :
Yet nature is made better by no mean :
But nature makes that mean : so , over that art :
Which you say adds to nature , is an art :
That nature makes . You see , sweet maid , we marry :
A gentler scion to the wildest stock , :
And make conceive a bark of baser kind :
By bud of nobler race : this is an art :
Which does mend nature , change it rather , but :
The art itself is nature . :
PERDITA :
So it is . :
POLIXENES :
Then make your garden rich in gillyvors , :
And do not call them bastards . :
PERDITA :
I 'll not put :
The dibble in earth to set one slip of them ; :
No more than were I painted I would wish :
This youth should say ' twere well and only therefore :
","Polixenes and Camillo disguise themselves to be present at a sheep-shearing festival. Polixenes wants to find out what is going on with his son Florizel, who is in love with the Shepherd's adopted daughter, now called Perdita."
"Hot lavender , mints , savoury , marjoram ; :
The marigold , that goes to bed wi ' the sun :
And with him rises weeping : these are flowers :
Of middle summer , and I think they are given :
To men of middle age . You 're very welcome . :
CAMILLO :
I should leave grazing , were I of your flock , :
And only live by gazing . :
PERDITA :
Out , alas ! :
You 'd be so lean , that blasts of January :
Would blow you through and through . :
Now , my fair 'st friend , :
I would I had some flowers o ' the spring that might :
Become your time of day ; and yours , and yours , :
That wear upon your virgin branches yet :
Your maidenheads growing : O Proserpina , :
For the flowers now , that frighted thou let 'st fall :
From Dis 's waggon ! daffodils , :
That come before the swallow dares , and take :
The winds of March with beauty ; violets dim , :
But sweeter than the lids of Juno 's eyes :
Or Cytherea 's breath ; pale primroses :
That die unmarried , ere they can behold :
Bight Phoebus in his strength--a malady :
Most incident to maids ; bold oxlips and :
The crown imperial ; lilies of all kinds , :
The flower-de-luce being one ! O , these I lack , :
To make you garlands of , and my sweet friend , :
To strew him o 'er and o 'er ! :
FLORIZEL :
What , like a corse ? :
PERDITA :
No , like a bank for love to lie and play on ; :
Not like a corse ; or if , not to be buried , :
But quick and in mine arms . Come , take your flowers : :
Methinks I play as I have seen them do :
In Whitsun pastorals : sure this robe of mine :
Does change my disposition . :
FLORIZEL :
What you do :
Still betters what is done . When you speak , sweet . :
I 'ld have you do it ever : when you sing , :
I 'ld have you buy and sell so , so give alms , :
Pray so ; and , for the ordering your affairs , :
To sing them too : when you do dance , I wish you :
A wave o ' the sea , that you might ever do :
Nothing but that ; move still , still so , :
And own no other function : each your doing , :
So singular in each particular , :
Crowns what you are doing in the present deed , :
That all your acts are queens . :
PERDITA :
O Doricles , :
Your praises are too large : but that your youth , :
And the true blood which peepeth fairly through 't , :
Do plainly give you out an unstain 'd shepherd , :
With wisdom I might fear , my Doricles , :
You woo 'd me the false way . :
FLORIZEL :
I think you have :
As little skill to fear as I have purpose :
To put you to 't . But come ; our dance , I pray : :
Your hand , my Perdita : so turtles pair , :
That never mean to part . :
PERDITA :
I 'll swear for ' em . :
POLIXENES :
This is the prettiest low-born lass that ever :
Ran on the green-sward : nothing she does or seems :
But smacks of something greater than herself , :
Too noble for this place . :
CAMILLO :
He tells her something :
That makes her blood look out : good sooth , she is :
The queen of curds and cream . :
Clown :
Come on , strike up ! :
DORCAS :
Mopsa must be your mistress : marry , garlic , :
To mend her kissing with ! :
MOPSA :
Now , in good time ! :
Clown :
Not a word , a word ; we stand upon our manners . :
Come , strike up ! :
Music . Here a dance of Shepherds and Shepherdesses :
POLIXENES :
Pray , good shepherd , what fair swain is this :
Which dances with your daughter ? :
","Dancing and singing take place, and Florizel and Perdita plan to marry. The scene is filled with merriment and dancing, with Perdita and Florizel's love on full display."
"They call him Doricles ; and boasts himself :
To have a worthy feeding : but I have it :
Upon his own report and I believe it ; :
He looks like sooth . He says he loves my daughter : :
I think so too ; for never gazed the moon :
Upon the water as he 'll stand and read :
As ' twere my daughter 's eyes : and , to be plain . :
I think there is not half a kiss to choose :
Who loves another best . :
POLIXENES :
She dances featly . :
Shepherd :
So she does any thing ; though I report it , :
That should be silent : if young Doricles :
Do light upon her , she shall bring him that :
Which he not dreams of . :
Servant :
O master , if you did but hear the pedlar at the :
door , you would never dance again after a tabour and :
pipe ; no , the bagpipe could not move you : he sings :
several tunes faster than you 'll tell money ; he :
utters them as he had eaten ballads and all men 's :
ears grew to his tunes . :
Clown :
He could never come better ; he shall come in . I :
love a ballad but even too well , if it be doleful :
matter merrily set down , or a very pleasant thing :
indeed and sung lamentably . :
Servant :
He hath songs for man or woman , of all sizes ; no :
milliner can so fit his customers with gloves : he :
has the prettiest love-songs for maids ; so without :
bawdry , which is strange ; with such delicate :
burthens of dildos and fadings , ' jump her and thump :
her ; ' and where some stretch-mouthed rascal would , :
as it were , mean mischief and break a foul gap into :
the matter , he makes the maid to answer ' Whoop , do me :
no harm , good man ; ' puts him off , slights him , with :
'Whoop , do me no harm , good man . ' :
POLIXENES :
This is a brave fellow . :
Clown :
Believe me , thou talkest of an admirable conceited :
fellow . Has he any unbraided wares ? :
Servant :
He hath ribbons of an the colours i ' the rainbow ; :
points more than all the lawyers in Bohemia can :
learnedly handle , though they come to him by the :
gross : inkles , caddisses , cambrics , lawns : why , he :
sings ' em over as they were gods or goddesses ; you :
would think a smock were a she-angel , he so chants :
to the sleeve-hand and the work about the square on 't . :
Clown :
Prithee bring him in ; and let him approach singing . :
PERDITA :
Forewarn him that he use no scurrilous words in ' s tunes . :
Exit Servant :
Clown :
You have of these pedlars , that have more in them :
than you 'ld think , sister . :
PERDITA :
Ay , good brother , or go about to think . :
AUTOLYCUS :
Lawn as white as driven snow ; :
Cyprus black as e 'er was crow ; :
Gloves as sweet as damask roses ; :
Masks for faces and for noses ; :
Bugle bracelet , necklace amber , :
Perfume for a lady 's chamber ; :
Golden quoifs and stomachers , :
For my lads to give their dears : :
Pins and poking-sticks of steel , :
What maids lack from head to heel : :
Come buy of me , come ; come buy , come buy ; :
Buy lads , or else your lasses cry : Come buy . :
Clown :
If I were not in love with Mopsa , thou shouldst take :
no money of me ; but being enthralled as I am , it :
will also be the bondage of certain ribbons and gloves . :
MOPSA :
I was promised them against the feast ; but they come :
not too late now . :
DORCAS :
He hath promised you more than that , or there be liars . :
MOPSA :
",The shepherd and Polixenes discuss Florizel's affection for Perdita. The shepherd praises Florizel's love for his daughter. They observe Perdita dancing and Polixenes comments on her grace.
"paid you more , which will shame you to give him again . :
Clown :
Is there no manners left among maids ? will they :
wear their plackets where they should bear their :
faces ? Is there not milking-time , when you are :
going to bed , or kiln-hole , to whistle off these :
secrets , but you must be tittle-tattling before all :
our guests ? ' tis well they are whispering : clamour :
your tongues , and not a word more . :
MOPSA :
I have done . Come , you promised me a tawdry-lace :
and a pair of sweet gloves . :
Clown :
Have I not told thee how I was cozened by the way :
and lost all my money ? :
AUTOLYCUS :
And indeed , sir , there are cozeners abroad ; :
therefore it behoves men to be wary . :
Clown :
Fear not thou , man , thou shalt lose nothing here . :
AUTOLYCUS :
I hope so , sir ; for I have about me many parcels of charge . :
Clown :
What hast here ? ballads ? :
MOPSA :
Pray now , buy some : I love a ballad in print o ' :
life , for then we are sure they are true . :
AUTOLYCUS :
Here 's one to a very doleful tune , how a usurer 's :
wife was brought to bed of twenty money-bags at a :
burthen and how she longed to eat adders ' heads and :
toads carbonadoed . :
MOPSA :
Is it true , think you ? :
AUTOLYCUS :
Very true , and but a month old . :
DORCAS :
Bless me from marrying a usurer ! :
AUTOLYCUS :
Here 's the midwife 's name to 't , one Mistress :
Tale-porter , and five or six honest wives that were :
present . Why should I carry lies abroad ? :
MOPSA :
Pray you now , buy it . :
Clown :
Come on , lay it by : and let 's first see moe :
ballads ; we 'll buy the other things anon . :
AUTOLYCUS :
Here 's another ballad of a fish , that appeared upon :
the coast on Wednesday the four-score of April , :
forty thousand fathom above water , and sung this :
ballad against the hard hearts of maids : it was :
thought she was a woman and was turned into a cold :
fish for she would not exchange flesh with one that :
loved her : the ballad is very pitiful and as true . :
DORCAS :
Is it true too , think you ? :
AUTOLYCUS :
Five justices ' hands at it , and witnesses more than :
my pack will hold . :
Clown :
Lay it by too : another . :
AUTOLYCUS :
This is a merry ballad , but a very pretty one . :
MOPSA :
Let 's have some merry ones . :
AUTOLYCUS :
Why , this is a passing merry one and goes to :
the tune of ' Two maids wooing a man : ' there 's :
scarce a maid westward but she sings it ; ' tis in :
request , I can tell you . :
MOPSA :
We can both sing it : if thou 'lt bear a part , thou :
shalt hear ; ' tis in three parts . :
DORCAS :
We had the tune on 't a month ago . :
AUTOLYCUS :
I can bear my part ; you must know ' tis my :
occupation ; have at it with you . :
SONG :
AUTOLYCUS :
Get you hence , for I must go :
Where it fits not you to know . :
DORCAS :
Whither ? :
MOPSA :
O , whither ? :
DORCAS :
Whither ? :
MOPSA :
It becomes thy oath full well , :
Thou to me thy secrets tell . :
DORCAS :
Me too , let me go thither . :
MOPSA :
Or thou goest to the orange or mill . :
DORCAS :
If to either , thou dost ill . :
AUTOLYCUS :
Neither . :
DORCAS :
What , neither ? :
AUTOLYCUS :
Neither . :
DORCAS :
Thou hast sworn my love to be . :
MOPSA :
Thou hast sworn it more to me : :
",The scene continues with Autolycus offering ballads for sale. The clown and the shepherd's daughters discuss the ballads.
"Clown :
We 'll have this song out anon by ourselves : my :
father and the gentlemen are in sad talk , and we 'll :
not trouble them . Come , bring away thy pack after :
me . Wenches , I 'll buy for you both . Pedlar , let 's :
have the first choice . Follow me , girls . :
Exit with DORCAS and MOPSA :
AUTOLYCUS :
And you shall pay well for ' em . :
Follows singing :
Will you buy any tape , :
Or lace for your cape , :
My dainty duck , my dear-a ? :
Any silk , any thread , :
Any toys for your head , :
Of the new 'st and finest , finest wear-a ? :
Come to the pedlar ; :
Money 's a medler . :
That doth utter all men 's ware-a . :
Exit :
Re-enter Servant :
Servant :
Master , there is three carters , three shepherds , :
three neat-herds , three swine-herds , that have made :
themselves all men of hair , they call themselves :
Saltiers , and they have a dance which the wenches :
say is a gallimaufry of gambols , because they are :
not in 't ; but they themselves are o ' the mind , if it :
be not too rough for some that know little but :
bowling , it will please plentifully . :
Shepherd :
Away ! we 'll none on ' t : here has been too much :
homely foolery already . I know , sir , we weary you . :
POLIXENES :
You weary those that refresh us : pray , let 's see :
these four threes of herdsmen . :
Servant :
One three of them , by their own report , sir , hath :
danced before the king ; and not the worst of the :
three but jumps twelve foot and a half by the squier . :
Shepherd :
Leave your prating : since these good men are :
pleased , let them come in ; but quickly now . :
Servant :
Why , they stay at door , sir . :
Exit :
Here a dance of twelve Satyrs :
POLIXENES :
O , father , you 'll know more of that hereafter . :
To CAMILLO :
Is it not too far gone ? ' Tis time to part them . :
He 's simple and tells much . :
To FLORIZEL :
How now , fair shepherd ! :
Your heart is full of something that does take :
Your mind from feasting . Sooth , when I was young :
And handed love as you do , I was wont :
To load my she with knacks : I would have ransack 'd :
The pedlar 's silken treasury and have pour 'd it :
To her acceptance ; you have let him go :
And nothing marted with him . If your lass :
Interpretation should abuse and call this :
Your lack of love or bounty , you were straited :
For a reply , at least if you make a care :
Of happy holding her . :
FLORIZEL :
Old sir , I know :
She prizes not such trifles as these are : :
The gifts she looks from me are pack 'd and lock 'd :
Up in my heart ; which I have given already , :
But not deliver 'd . O , hear me breathe my life :
Before this ancient sir , who , it should seem , :
Hath sometime loved ! I take thy hand , this hand , :
As soft as dove 's down and as white as it , :
Or Ethiopian 's tooth , or the fann 'd :
snow that 's bolted :
By the northern blasts twice o 'er . :
POLIXENES :
What follows this ? :
How prettily the young swain seems to wash :
The hand was fair before ! I have put you out : :
But to your protestation ; let me hear :
What you profess . :
FLORIZEL :
Do , and be witness to ' t . :
POLIXENES :
And this my neighbour too ? :
FLORIZEL :
And he , and more :
Than he , and men , the earth , the heavens , and all : :
","The scene showcases Florizel's sincere affection and determination to win Perdita's heart, even in the face of potential challenges from her father, Polixenes."
"Thereof most worthy , were I the fairest youth :
That ever made eye swerve , had force and knowledge :
More than was ever man 's , I would not prize them :
Without her love ; for her employ them all ; :
Commend them and condemn them to her service :
Or to their own perdition . :
POLIXENES :
Fairly offer 'd . :
CAMILLO :
This shows a sound affection . :
Shepherd :
But , my daughter , :
Say you the like to him ? :
PERDITA :
I cannot speak :
So well , nothing so well ; no , nor mean better : :
By the pattern of mine own thoughts I cut out :
The purity of his . :
Shepherd :
Take hands , a bargain ! :
And , friends unknown , you shall bear witness to ' t : :
I give my daughter to him , and will make :
Her portion equal his . :
FLORIZEL :
O , that must be :
I ' the virtue of your daughter : one being dead , :
I shall have more than you can dream of yet ; :
Enough then for your wonder . But , come on , :
Contract us ' fore these witnesses . :
Shepherd :
Come , your hand ; :
And , daughter , yours . :
POLIXENES :
Soft , swain , awhile , beseech you ; :
Have you a father ? :
FLORIZEL :
I have : but what of him ? :
POLIXENES :
Knows he of this ? :
FLORIZEL :
He neither does nor shall . :
POLIXENES :
Methinks a father :
Is at the nuptial of his son a guest :
That best becomes the table . Pray you once more , :
Is not your father grown incapable :
Of reasonable affairs ? is he not stupid :
With age and altering rheums ? can he speak ? hear ? :
Know man from man ? dispute his own estate ? :
Lies he not bed-rid ? and again does nothing :
But what he did being childish ? :
FLORIZEL :
No , good sir ; :
He has his health and ampler strength indeed :
Than most have of his age . :
POLIXENES :
By my white beard , :
You offer him , if this be so , a wrong :
Something unfilial : reason my son :
Should choose himself a wife , but as good reason :
The father , all whose joy is nothing else :
But fair posterity , should hold some counsel :
In such a business . :
FLORIZEL :
I yield all this ; :
But for some other reasons , my grave sir , :
Which ' tis not fit you know , I not acquaint :
My father of this business . :
POLIXENES :
Let him know 't . :
FLORIZEL :
He shall not . :
POLIXENES :
Prithee , let him . :
FLORIZEL :
No , he must not . :
Shepherd :
Let him , my son : he shall not need to grieve :
At knowing of thy choice . :
FLORIZEL :
Come , come , he must not . :
Mark our contract . :
POLIXENES :
Mark your divorce , young sir , :
Discovering himself :
Whom son I dare not call ; thou art too base :
To be acknowledged : thou a sceptre 's heir , :
That thus affect 'st a sheep-hook ! Thou old traitor , :
I am sorry that by hanging thee I can :
But shorten thy life one week . And thou , fresh piece :
Of excellent witchcraft , who of force must know :
The royal fool thou copest with , -- :
Shepherd :
O , my heart ! :
POLIXENES :
I 'll have thy beauty scratch 'd with briers , and made :
More homely than thy state . For thee , fond boy , :
If I may ever know thou dost but sigh :
That thou no more shalt see this knack , as never :
I mean thou shalt , we 'll bar thee from succession ; :
Not hold thee of our blood , no , not our kin , :
Far than Deucalion off : mark thou my words : :
Follow us to the court . Thou churl , for this time , :
","When Polixenese realises that his son is involved with her he reveals his identity, and intervenes, threatening the shepherds for facilitating the relationship between the prince and the young shepherdess."
"From the dead blow of it . And you , enchantment.-- :
Worthy enough a herdsman : yea , him too , :
That makes himself , but for our honour therein , :
Unworthy thee , --if ever henceforth thou :
These rural latches to his entrance open , :
Or hoop his body more with thy embraces , :
I will devise a death as cruel for thee :
As thou art tender to 't . :
Exit :
PERDITA :
Even here undone ! :
I was not much afeard ; for once or twice :
I was about to speak and tell him plainly , :
The selfsame sun that shines upon his court :
Hides not his visage from our cottage but :
Looks on alike . Will 't please you , sir , be gone ? :
I told you what would come of this : beseech you , :
Of your own state take care : this dream of mine , -- :
Being now awake , I 'll queen it no inch farther , :
But milk my ewes and weep . :
CAMILLO :
Why , how now , father ! :
Speak ere thou diest . :
Shepherd :
I cannot speak , nor think :
Nor dare to know that which I know . O sir ! :
You have undone a man of fourscore three , :
That thought to fill his grave in quiet , yea , :
To die upon the bed my father died , :
To lie close by his honest bones : but now :
Some hangman must put on my shroud and lay me :
Where no priest shovels in dust . O cursed wretch , :
That knew 'st this was the prince , :
and wouldst adventure :
To mingle faith with him ! Undone ! undone ! :
If I might die within this hour , I have lived :
To die when I desire . :
Exit :
FLORIZEL :
Why look you so upon me ? :
I am but sorry , not afeard ; delay 'd , :
But nothing alter 'd : what I was , I am ; :
More straining on for plucking back , not following :
My leash unwillingly . :
CAMILLO :
Gracious my lord , :
You know your father 's temper : at this time :
He will allow no speech , which I do guess :
You do not purpose to him ; and as hardly :
Will he endure your sight as yet , I fear : :
Then , till the fury of his highness settle , :
Come not before him . :
FLORIZEL :
I not purpose it . :
I think , Camillo ? :
CAMILLO :
Even he , my lord . :
PERDITA :
How often have I told you ' twould be thus ! :
How often said , my dignity would last :
But till ' twere known ! :
FLORIZEL :
It cannot fail but by :
The violation of my faith ; and then :
Let nature crush the sides o ' the earth together :
And mar the seeds within ! Lift up thy looks : :
From my succession wipe me , father ; I :
Am heir to my affection . :
CAMILLO :
Be advised . :
FLORIZEL :
I am , and by my fancy : if my reason :
Will thereto be obedient , I have reason ; :
If not , my senses , better pleased with madness , :
Do bid it welcome . :
CAMILLO :
This is desperate , sir . :
FLORIZEL :
So call it : but it does fulfil my vow ; :
I needs must think it honesty . Camillo , :
Not for Bohemia , nor the pomp that may :
Be thereat glean 'd , for all the sun sees or :
The close earth wombs or the profound sea hides :
In unknown fathoms , will I break my oath :
To this my fair beloved : therefore , I pray you , :
As you have ever been my father 's honour 'd friend , :
When he shall miss me , --as , in faith , I mean not :
To see him any more , --cast your good counsels :
Upon his passion ; let myself and fortune :
Tug for the time to come . This you may know :
",Florizel expresses his determination to follow through with his love for Perdita. He mentions that he will be leaving Bohemia and asks Camillo to offer counsel to his father in his absence.
